Name,observation_value,Trait,Year
PI506852,42.7,protein,2021
PI506903,42.7,protein,2021
PI506909,42.7,protein,2021
PI506958,42.7,protein,2021
PI506971,42.7,protein,2021
PI507011,42.7,protein,2021
PI507056,42.7,protein,2021
PI507061,42.7,protein,2021
PI507092,42.7,protein,2021
PI507093,42.7,protein,2021
PI507135,42.7,protein,2021
PI507185,42.7,protein,2021
PI507190,42.7,protein,2021
PI507235,42.7,protein,2021
PI507246,42.7,protein,2021
PI507248,42.7,protein,2021
PI507397,42.7,protein,2021
PI507418,42.7,protein,2021
PI507428,42.7,protein,2021
PI507443,42.7,protein,2021
PI507453,42.7,protein,2021
PI507470,42.7,protein,2021
PI507533,42.7,protein,2021
PI507550,42.7,protein,2021
PI507577,42.7,protein,2021
PI507672,42.7,protein,2021
PI507675,42.7,protein,2021
PI507706,42.7,protein,2021
PI507842,42.7,protein,2021
PI509096,42.7,protein,2021
PI518674,42.7,protein,2021
PI518703,42.7,protein,2021
PI518704,42.7,protein,2021
PI518750,42.7,protein,2021
PI518753,42.7,protein,2021
PI522187,42.7,protein,2021
PI522189,42.7,protein,2021
PI540740,42.7,protein,2021
PI542709,42.7,protein,2021
PI543794,42.7,protein,2021
PI547596,42.7,protein,2021
PI547741,42.7,protein,2021
PI548403,42.7,protein,2021
PI548452,42.7,protein,2021
PI548485,42.7,protein,2021
PI548549,42.7,protein,2021
PI548627,42.7,protein,2021
PI548693,42.7,protein,2021
PI549050,42.7,protein,2021
PI559934,42.7,protein,2021
PI561227,42.7,protein,2021
PI561328,42.7,protein,2021
PI561375,42.7,protein,2021
PI561377,42.7,protein,2021
PI561407,42.7,protein,2021
PI564261,42.7,protein,2021
PI567173,42.7,protein,2021
PI567177,42.7,protein,2021
PI567185,42.7,protein,2021
PI567187,42.7,protein,2021
PI567207,42.7,protein,2021
PI567383,42.7,protein,2021
PI567420,42.7,protein,2021
PI567787,42.7,protein,2021
PI576857,42.7,protein,2021
PI578354,42.7,protein,2021
PI578422,42.7,protein,2021
PI54606-2,42.7,protein,2021
PI54608-2,42.7,protein,2021
PI79848-1,42.7,protein,2021
PI81031-2,42.7,protein,2021
PI89061-3,42.7,protein,2021
PI339868A,42.7,protein,2021
PI360955B,42.7,protein,2021
PI361071B,42.7,protein,2021
PI408010-1,42.7,protein,2021
PI408067B,42.7,protein,2021
PI408192-1,42.7,protein,2021
PI417537B,42.7,protein,2021
PI423808B,42.7,protein,2021
PI424168C,42.7,protein,2021
PI424269B,42.7,protein,2021
PI424590A,42.7,protein,2021
PI427105A,42.7,protein,2021
PI437153B,42.7,protein,2021
PI437223A,42.7,protein,2021
PI437306A,42.7,protein,2021
PI437381D,42.7,protein,2021
PI437514A,42.7,protein,2021
PI437863A,42.7,protein,2021
PI437895C,42.7,protein,2021
PI437915B,42.7,protein,2021
PI438016A,42.7,protein,2021
PI438128A,42.7,protein,2021
PI438211A,42.7,protein,2021
PI438252C,42.7,protein,2021
PI458024A,42.7,protein,2021
PI458062A,42.7,protein,2021
PI458112B,42.7,protein,2021
PI458123B,42.7,protein,2021
PI458508B,42.7,protein,2021
PI470227A,42.7,protein,2021
PI506762A,42.7,protein,2021
PI507442B,42.7,protein,2021
PI507686A,42.7,protein,2021
PI561287A,42.7,protein,2021
PI507594A,42.7,protein,2021
PI522219A,42.7,protein,2021
PI522231B,42.7,protein,2021
PI587734,42.7,protein,2021
PI587718,42.7,protein,2021
PI591490,42.7,protein,2021
PI591502,42.7,protein,2021
PI591546,42.7,protein,2021
PI567650C,42.7,protein,2021
PI567667C,42.7,protein,2021
PI567157A,42.7,protein,2021
PI567282B,42.7,protein,2021
PI592903,42.7,protein,2021
PI592939,42.7,protein,2021
PI592940,42.7,protein,2021
PI594255,42.7,protein,2021
PI594289,42.7,protein,2021
PI594602,42.7,protein,2021
PI594634,42.7,protein,2021
PI594859,42.7,protein,2021
PI594400,42.7,protein,2021
PI587596A,42.7,protein,2021
PI587841B,42.7,protein,2021
PI588052A,42.7,protein,2021
PI587601C,42.7,protein,2021
PI587572B,42.7,protein,2021
PI587597C,42.7,protein,2021
PI587606A,42.7,protein,2021
PI587976B,42.7,protein,2021
PI595363,42.7,protein,2021
PI597417,42.7,protein,2021
PI602498,42.7,protein,2021
PI603309,42.7,protein,2021
PI603399,42.7,protein,2021
PI603446,42.7,protein,2021
PI603454,42.7,protein,2021
PI603505,42.7,protein,2021
PI603953,42.7,protein,2021
PI594693B,42.7,protein,2021
PI597427B,42.7,protein,2021
PI612616,42.7,protein,2021
PI612747,42.7,protein,2021
PI603742A,42.7,protein,2021
PI603743B,42.7,protein,2021
PI603422A,42.7,protein,2021
PI603432A,42.7,protein,2021
PI603437A,42.7,protein,2021
PI603438E,42.7,protein,2021
PI603455A,42.7,protein,2021
PI603569A,42.7,protein,2021
PI603576B,42.7,protein,2021
PI603698A,42.7,protein,2021
PI603436B,42.7,protein,2021
PI633609,42.7,protein,2021
FC1547,42.8,protein,2021
FC31571,42.8,protein,2021
FC31579,42.8,protein,2021
FC31732,42.8,protein,2021
PI54809,42.8,protein,2021
PI54853,42.8,protein,2021
PI63271,42.8,protein,2021
PI65346,42.8,protein,2021
PI68449,42.8,protein,2021
PI69515,42.8,protein,2021
PI70023,42.8,protein,2021
PI70080,42.8,protein,2021
PI70228,42.8,protein,2021
PI70241,42.8,protein,2021
PI79627,42.8,protein,2021
PI81041,42.8,protein,2021
PI84610,42.8,protein,2021
PI84662,42.8,protein,2021
PI85508,42.8,protein,2021
PI86063,42.8,protein,2021
PI86063,42.8,protein,2021
PI89134,42.8,protein,2021
PI89146,42.8,protein,2021
PI90577,42.8,protein,2021
PI91340,42.8,protein,2021
PI91343,42.8,protein,2021
PI91346,42.8,protein,2021
PI92604,42.8,protein,2021
PI92663,42.8,protein,2021
PI104708,42.8,protein,2021
PI152361,42.8,protein,2021
PI157408,42.8,protein,2021
PI157409,42.8,protein,2021
PI157458,42.8,protein,2021
PI157492,42.8,protein,2021
PI159093,42.8,protein,2021
PI180517,42.8,protein,2021
PI181531,42.8,protein,2021
PI189919,42.8,protein,2021
PI194627,42.8,protein,2021
PI200519,42.8,protein,2021
PI596527,42.8,protein,2021
PI219789,42.8,protein,2021
PI227566,42.8,protein,2021
PI229337,42.8,protein,2021
PI238932,42.8,protein,2021
PI258387,42.8,protein,2021
PI291325,42.8,protein,2021
PI291329,42.8,protein,2021
PI303653,42.8,protein,2021
PI347560,42.8,protein,2021
PI360846,42.8,protein,2021
PI361092,42.8,protein,2021
PI361114,42.8,protein,2021
PI374219,42.8,protein,2021
PI378666,42.8,protein,2021
PI398276,42.8,protein,2021
PI398285,42.8,protein,2021
PI398534,42.8,protein,2021
PI398577,42.8,protein,2021
PI398807,42.8,protein,2021
PI398816,42.8,protein,2021
PI398882,42.8,protein,2021
PI407229,42.8,protein,2021
PI407705,42.8,protein,2021
PI407924,42.8,protein,2021
PI408333,42.8,protein,2021
PI416801,42.8,protein,2021
PI416816,42.8,protein,2021
PI416834,42.8,protein,2021
PI416846,42.8,protein,2021
PI416855,42.8,protein,2021
PI416874,42.8,protein,2021
PI416888,42.8,protein,2021
PI416897,42.8,protein,2021
PI416982,42.8,protein,2021
PI417132,42.8,protein,2021
PI417153,42.8,protein,2021
PI417216,42.8,protein,2021
PI417282,42.8,protein,2021
PI417354,42.8,protein,2021
PI417362,42.8,protein,2021
PI417363,42.8,protein,2021
PI417517,42.8,protein,2021
PI417523,42.8,protein,2021
PI423791,42.8,protein,2021
PI423795,42.8,protein,2021
PI423811,42.8,protein,2021
PI423928,42.8,protein,2021
PI423941,42.8,protein,2021
PI424140,42.8,protein,2021
PI424246,42.8,protein,2021
PI424383,42.8,protein,2021
PI424466,42.8,protein,2021
PI436620,42.8,protein,2021
PI437069,42.8,protein,2021
PI437136,42.8,protein,2021
PI437140,42.8,protein,2021
PI437176,42.8,protein,2021
PI437243,42.8,protein,2021
PI437272,42.8,protein,2021
PI437310,42.8,protein,2021
PI437483,42.8,protein,2021
PI437486,42.8,protein,2021
PI437543,42.8,protein,2021
PI437665,42.8,protein,2021
PI437703,42.8,protein,2021
PI437775,42.8,protein,2021
PI437790,42.8,protein,2021
PI437807,42.8,protein,2021
PI437809,42.8,protein,2021
PI437917,42.8,protein,2021
PI438154,42.8,protein,2021
PI438198,42.8,protein,2021
PI438200,42.8,protein,2021
PI438221,42.8,protein,2021
PI438248,42.8,protein,2021
PI438352,42.8,protein,2021
PI438441,42.8,protein,2021
PI438463,42.8,protein,2021
PI445788,42.8,protein,2021
PI445811,42.8,protein,2021
PI458114,42.8,protein,2021
PI458120,42.8,protein,2021
PI458140,42.8,protein,2021
PI458520,42.8,protein,2021
PI467343,42.8,protein,2021
PI468964,42.8,protein,2021
PI471904,42.8,protein,2021
PI479710,42.8,protein,2021
PI479752,42.8,protein,2021
PI482599,42.8,protein,2021
PI504494,42.8,protein,2021
PI504496,42.8,protein,2021
PI506627,42.8,protein,2021
PI506637,42.8,protein,2021
PI506672,42.8,protein,2021
PI506698,42.8,protein,2021
PI506766,42.8,protein,2021
PI506860,42.8,protein,2021
PI506888,42.8,protein,2021
PI506931,42.8,protein,2021
PI506934,42.8,protein,2021
PI506953,42.8,protein,2021
PI507137,42.8,protein,2021
PI507147,42.8,protein,2021
PI507148,42.8,protein,2021
PI507179,42.8,protein,2021
PI507199,42.8,protein,2021
PI507368,42.8,protein,2021
PI507372,42.8,protein,2021
PI507384,42.8,protein,2021
PI507471,42.8,protein,2021
PI507475,42.8,protein,2021
PI507496,42.8,protein,2021
PI507537,42.8,protein,2021
PI507564,42.8,protein,2021
PI507575,42.8,protein,2021
PI507691,42.8,protein,2021
PI507706,42.8,protein,2021
PI507753,42.8,protein,2021
PI507780,42.8,protein,2021
PI507821,42.8,protein,2021
PI509092,42.8,protein,2021
PI511356,42.8,protein,2021
PI525492,42.8,protein,2021
PI535807,42.8,protein,2021
PI538391,42.8,protein,2021
PI547763,42.8,protein,2021
PI548417,42.8,protein,2021
PI548461,42.8,protein,2021
PI548511,42.8,protein,2021
PI548549,42.8,protein,2021
PI548599,42.8,protein,2021
PI548622,42.8,protein,2021
PI549063,42.8,protein,2021
PI561283,42.8,protein,2021
PI561333,42.8,protein,2021
PI561337,42.8,protein,2021
PI561354,42.8,protein,2021
PI561369,42.8,protein,2021
PI561370,42.8,protein,2021
PI567503,42.8,protein,2021
PI567657,42.8,protein,2021
PI567737,42.8,protein,2021
PI578309,42.8,protein,2021
PI578330,42.8,protein,2021
PI578397,42.8,protein,2021
PI578429,42.8,protein,2021
PI578474,42.8,protein,2021
PI578487,42.8,protein,2021
PI88803-1,42.8,protein,2021
PI123577B,42.8,protein,2021
PI253656A,42.8,protein,2021
PI290129A,42.8,protein,2021
PI347540C,42.8,protein,2021
PI361066A,42.8,protein,2021
PI372421B,42.8,protein,2021
PI378680A,42.8,protein,2021
PI379562A,42.8,protein,2021
PI407386A,42.8,protein,2021
PI407998A,42.8,protein,2021
PI408076B,42.8,protein,2021
PI408260B,42.8,protein,2021
PI417544B,42.8,protein,2021
PI417572B,42.8,protein,2021
PI417572A,42.8,protein,2021
PI424277B,42.8,protein,2021
PI424472A,42.8,protein,2021
PI424474-2,42.8,protein,2021
PI427088B,42.8,protein,2021
PI430460A,42.8,protein,2021
PI437294A,42.8,protein,2021
PI437385A,42.8,protein,2021
PI437609A,42.8,protein,2021
PI437621B,42.8,protein,2021
PI437752C,42.8,protein,2021
PI437840B,42.8,protein,2021
PI438112B,42.8,protein,2021
PI438166A,42.8,protein,2021
PI438230B,42.8,protein,2021
PI438238A,42.8,protein,2021
PI438334A,42.8,protein,2021
PI438358A,42.8,protein,2021
PI438509A,42.8,protein,2021
PI442038B,42.8,protein,2021
PI458175C,42.8,protein,2021
PI458307B,42.8,protein,2021
PI458519A,42.8,protein,2021
PI467308A,42.8,protein,2021
PI467335A,42.8,protein,2021
PI468408A,42.8,protein,2021
PI506590C,42.8,protein,2021
PI507687A,42.8,protein,2021
PI549049B,42.8,protein,2021
PI561278B,42.8,protein,2021
PI561278A,42.8,protein,2021
PI561299A,42.8,protein,2021
PI424128A,42.8,protein,2021
PI464866B,42.8,protein,2021
PI507800B,42.8,protein,2021
PI507838B,42.8,protein,2021
PI522194A,42.8,protein,2021
PI522224B,42.8,protein,2021
PI587834,42.8,protein,2021
PI587751,42.8,protein,2021
PI591434,42.8,protein,2021
PI497964A,42.8,protein,2021
PI567435A,42.8,protein,2021
PI567508B,42.8,protein,2021
PI567627B,42.8,protein,2021
PI567157B,42.8,protein,2021
PI567217B,42.8,protein,2021
PI567234B,42.8,protein,2021
PI578471B,42.8,protein,2021
PI592936,42.8,protein,2021
PI594198,42.8,protein,2021
PI594238,42.8,protein,2021
PI594250,42.8,protein,2021
PI594632,42.8,protein,2021
PI594864,42.8,protein,2021
PI594417,42.8,protein,2021
PI594606,42.8,protein,2021
PI587604C,42.8,protein,2021
PI587705A,42.8,protein,2021
PI588050A,42.8,protein,2021
PI587641C,42.8,protein,2021
PI587987C,42.8,protein,2021
PI587642A,42.8,protein,2021
PI595363,42.8,protein,2021
PI597390,42.8,protein,2021
PI597657,42.8,protein,2021
PI597651,42.8,protein,2021
PI597652,42.8,protein,2021
PI603295,42.8,protein,2021
PI603307,42.8,protein,2021
PI603333,42.8,protein,2021
PI603482,42.8,protein,2021
PI603494,42.8,protein,2021
PI603504,42.8,protein,2021
PI603526,42.8,protein,2021
PI603640,42.8,protein,2021
PI597391C,42.8,protein,2021
PI597391B,42.8,protein,2021
PI612746,42.8,protein,2021
PI603457B,42.8,protein,2021
PI603698B,42.8,protein,2021
PI603455B,42.8,protein,2021
PI629004,42.8,protein,2021
FC31557,42.9,protein,2021
FC31579,42.9,protein,2021
PI68728,42.9,protein,2021
PI70559,42.9,protein,2021
PI79760,42.9,protein,2021
PI82210,42.9,protein,2021
PI82296,42.9,protein,2021
PI82527,42.9,protein,2021
PI82558,42.9,protein,2021
PI82581,42.9,protein,2021
PI86144,42.9,protein,2021
PI87619,42.9,protein,2021
PI88358,42.9,protein,2021
PI89007,42.9,protein,2021
PI89075,42.9,protein,2021
PI89150,42.9,protein,2021
PI89162,42.9,protein,2021
PI89471,42.9,protein,2021
PI90138,42.9,protein,2021
PI90401,42.9,protein,2021
PI90578,42.9,protein,2021
PI90768,42.9,protein,2021
PI91120,42.9,protein,2021
PI92570,42.9,protein,2021
PI97038,42.9,protein,2021
PI103091,42.9,protein,2021
PI153246,42.9,protein,2021
PI153275,42.9,protein,2021
PI157397,42.9,protein,2021
PI157450,42.9,protein,2021
PI181554,42.9,protein,2021
PI189857,42.9,protein,2021
PI196149,42.9,protein,2021
PI196152,42.9,protein,2021
PI200470,42.9,protein,2021
PI208783,42.9,protein,2021
PI224272,42.9,protein,2021
PI229314,42.9,protein,2021
PI290130,42.9,protein,2021
PI291318,42.9,protein,2021
PI307853,42.9,protein,2021
PI330635,42.9,protein,2021
PI378655,42.9,protein,2021
PI378668,42.9,protein,2021
PI398238,42.9,protein,2021
PI398268,42.9,protein,2021
PI398274,42.9,protein,2021
PI398301,42.9,protein,2021
PI398473,42.9,protein,2021
PI398533,42.9,protein,2021
PI398652,42.9,protein,2021
PI398828,42.9,protein,2021
PI398880,42.9,protein,2021
PI399009,42.9,protein,2021
PI399065,42.9,protein,2021
PI407045,42.9,protein,2021
PI408068,42.9,protein,2021
PI408086,42.9,protein,2021
PI408156,42.9,protein,2021
PI408314,42.9,protein,2021
PI408316,42.9,protein,2021
PI416843,42.9,protein,2021
PI416861,42.9,protein,2021
PI416908,42.9,protein,2021
PI416954,42.9,protein,2021
PI416989,42.9,protein,2021
PI417046,42.9,protein,2021
PI417227,42.9,protein,2021
PI417257,42.9,protein,2021
PI417275,42.9,protein,2021
PI417303,42.9,protein,2021
PI417371,42.9,protein,2021
PI417378,42.9,protein,2021
PI417387,42.9,protein,2021
PI417502,42.9,protein,2021
PI417535,42.9,protein,2021
PI417540,42.9,protein,2021
PI423805,42.9,protein,2021
PI423813,42.9,protein,2021
PI423816,42.9,protein,2021
PI423921,42.9,protein,2021
PI424165,42.9,protein,2021
PI424208,42.9,protein,2021
PI424315,42.9,protein,2021
PI424332,42.9,protein,2021
PI424421,42.9,protein,2021
PI424475,42.9,protein,2021
PI424588,42.9,protein,2021
PI430594,42.9,protein,2021
PI437106,42.9,protein,2021
PI437186,42.9,protein,2021
PI437302,42.9,protein,2021
PI437350,42.9,protein,2021
PI437660,42.9,protein,2021
PI437808,42.9,protein,2021
PI437966,42.9,protein,2021
PI437976,42.9,protein,2021
PI437977,42.9,protein,2021
PI438013,42.9,protein,2021
PI438096,42.9,protein,2021
PI438118,42.9,protein,2021
PI438167,42.9,protein,2021
PI438209,42.9,protein,2021
PI438240,42.9,protein,2021
PI438279,42.9,protein,2021
PI438399,42.9,protein,2021
PI438420,42.9,protein,2021
PI438434,42.9,protein,2021
PI438464,42.9,protein,2021
PI438465,42.9,protein,2021
PI438492,42.9,protein,2021
PI445682,42.9,protein,2021
PI458137,42.9,protein,2021
PI458205,42.9,protein,2021
PI458237,42.9,protein,2021
PI458286,42.9,protein,2021
PI464912,42.9,protein,2021
PI464921,42.9,protein,2021
PI467316,42.9,protein,2021
PI468922,42.9,protein,2021
PI468923,42.9,protein,2021
PI476928,42.9,protein,2021
PI479709,42.9,protein,2021
PI479721,42.9,protein,2021
PI504502,42.9,protein,2021
PI506486,42.9,protein,2021
PI506490,42.9,protein,2021
PI506543,42.9,protein,2021
PI506709,42.9,protein,2021
PI506802,42.9,protein,2021
PI506823,42.9,protein,2021
PI506829,42.9,protein,2021
PI506866,42.9,protein,2021
PI506884,42.9,protein,2021
PI506921,42.9,protein,2021
PI506962,42.9,protein,2021
PI507098,42.9,protein,2021
PI507139,42.9,protein,2021
PI507169,42.9,protein,2021
PI507213,42.9,protein,2021
PI507456,42.9,protein,2021
PI507463,42.9,protein,2021
PI507469,42.9,protein,2021
PI507499,42.9,protein,2021
PI507684,42.9,protein,2021
PI507700,42.9,protein,2021
PI507709,42.9,protein,2021
PI507716,42.9,protein,2021
PI507829,42.9,protein,2021
PI509108,42.9,protein,2021
PI511361,42.9,protein,2021
PI518673,42.9,protein,2021
PI522206,42.9,protein,2021
PI532469,42.9,protein,2021
PI538398,42.9,protein,2021
PI548363,42.9,protein,2021
PI548422,42.9,protein,2021
PI548428,42.9,protein,2021
PI548441,42.9,protein,2021
PI548462,42.9,protein,2021
PI548617,42.9,protein,2021
PI548622,42.9,protein,2021
PI548665,42.9,protein,2021
PI549047,42.9,protein,2021
PI559371,42.9,protein,2021
PI561231,42.9,protein,2021
PI567277,42.9,protein,2021
PI567527,42.9,protein,2021
PI567757,42.9,protein,2021
PI567791,42.9,protein,2021
PI572238,42.9,protein,2021
PI577798,42.9,protein,2021
PI578391,42.9,protein,2021
PI578394,42.9,protein,2021
FC3654N,42.9,protein,2021
PI54606-1,42.9,protein,2021
PI54610-4,42.9,protein,2021
PI80847-2,42.9,protein,2021
PI81034-2,42.9,protein,2021
PI81780S,42.9,protein,2021
PI84946-2,42.9,protein,2021
PI87465-1,42.9,protein,2021
PI90499-2,42.9,protein,2021
PI90499-2,42.9,protein,2021
PI339868F,42.9,protein,2021
PI370057A,42.9,protein,2021
PI378675B,42.9,protein,2021
PI384469A,42.9,protein,2021
PI404198B,42.9,protein,2021
PI407706B,42.9,protein,2021
PI408095C,42.9,protein,2021
PI408196B,42.9,protein,2021
PI408203A,42.9,protein,2021
PI417040A,42.9,protein,2021
PI423882A,42.9,protein,2021
PI437118A,42.9,protein,2021
PI437500C,42.9,protein,2021
PI437611B,42.9,protein,2021
PI437756A,42.9,protein,2021
PI437851A,42.9,protein,2021
PI438094B,42.9,protein,2021
PI438109A,42.9,protein,2021
PI438207B,42.9,protein,2021
PI438212A,42.9,protein,2021
PI438252A,42.9,protein,2021
PI438254D,42.9,protein,2021
PI438339A,42.9,protein,2021
PI458150B,42.9,protein,2021
PI458175B,42.9,protein,2021
PI458244B,42.9,protein,2021
PI464915A,42.9,protein,2021
PI479728B,42.9,protein,2021
PI503339A,42.9,protein,2021
PI506735A,42.9,protein,2021
PI507286B,42.9,protein,2021
PI507441A,42.9,protein,2021
PI507681B,42.9,protein,2021
PI512322B,42.9,protein,2021
PI549057A,42.9,protein,2021
PI561302C,42.9,protein,2021
PI507830A,42.9,protein,2021
PI507841B,42.9,protein,2021
PI522212B,42.9,protein,2021
PI522235C,42.9,protein,2021
PI408068B,42.9,protein,2021
PI434980A,42.9,protein,2021
PI471943A,42.9,protein,2021
PI567310A,42.9,protein,2021
PI567425A,42.9,protein,2021
PI567435B,42.9,protein,2021
PI567779A,42.9,protein,2021
PI567201C,42.9,protein,2021
PI567212C,42.9,protein,2021
PI578306A,42.9,protein,2021
PI578417A,42.9,protein,2021
PI592945,42.9,protein,2021
PI592970,42.9,protein,2021
PI593967,42.9,protein,2021
PI593986,42.9,protein,2021
PI594011,42.9,protein,2021
PI594167,42.9,protein,2021
PI594847,42.9,protein,2021
PI587560B,42.9,protein,2021
PI588015A,42.9,protein,2021
PI587560C,42.9,protein,2021
PI587603B,42.9,protein,2021
PI588026C,42.9,protein,2021
PI578340B,42.9,protein,2021
PI597477,42.9,protein,2021
PI603178,42.9,protein,2021
PI603316,42.9,protein,2021
PI603374,42.9,protein,2021
PI603483,42.9,protein,2021
PI603580,42.9,protein,2021
PI592956B,42.9,protein,2021
PI594614A,42.9,protein,2021
PI594618C,42.9,protein,2021
PI597411B,42.9,protein,2021
PI602500B,42.9,protein,2021
PI603444B,42.9,protein,2021
PI603465B,42.9,protein,2021
PI603465C,42.9,protein,2021
PI612706B,42.9,protein,2021
PI612707A,42.9,protein,2021
PI605780B,42.9,protein,2021
FC30694,43,protein,2021
PI54615,43,protein,2021
PI60273,43,protein,2021
PI63468,43,protein,2021
PI68759,43,protein,2021
PI70253,43,protein,2021
PI71667,43,protein,2021
PI82527,43,protein,2021
PI82534,43,protein,2021
PI83889,43,protein,2021
PI84646,43,protein,2021
PI85441,43,protein,2021
PI85519,43,protein,2021
PI85559,43,protein,2021
PI86060,43,protein,2021
PI86740,43,protein,2021
PI86876,43,protein,2021
PI87047,43,protein,2021
PI88297,43,protein,2021
PI89061,43,protein,2021
PI89156,43,protein,2021
PI91153,43,protein,2021
PI92606,43,protein,2021
PI95740,43,protein,2021
PI96162,43,protein,2021
PI153284,43,protein,2021
PI157438,43,protein,2021
PI157441,43,protein,2021
PI157442,43,protein,2021
PI157471,43,protein,2021
PI167277,43,protein,2021
PI171434,43,protein,2021
PI180508,43,protein,2021
PI192874,43,protein,2021
PI198067,43,protein,2021
PI198067,43,protein,2021
PI205088,43,protein,2021
PI219732,43,protein,2021
PI227330,43,protein,2021
PI229335,43,protein,2021
PI243518,43,protein,2021
PI243527,43,protein,2021
PI261467,43,protein,2021
PI290120,43,protein,2021
PI290124,43,protein,2021
PI290137,43,protein,2021
PI291276,43,protein,2021
PI319538,43,protein,2021
PI339979,43,protein,2021
PI340898,43,protein,2021
PI347543,43,protein,2021
PI358322,43,protein,2021
PI361087,43,protein,2021
PI372422,43,protein,2021
PI378667,43,protein,2021
PI381684,43,protein,2021
PI398185,43,protein,2021
PI398339,43,protein,2021
PI398365,43,protein,2021
PI398409,43,protein,2021
PI398562,43,protein,2021
PI398827,43,protein,2021
PI398848,43,protein,2021
PI399044,43,protein,2021
PI407199,43,protein,2021
PI407882,43,protein,2021
PI408112,43,protein,2021
PI408146,43,protein,2021
PI408249,43,protein,2021
PI408323,43,protein,2021
PI416778,43,protein,2021
PI416815,43,protein,2021
PI416824,43,protein,2021
PI416930,43,protein,2021
PI416933,43,protein,2021
PI417038,43,protein,2021
PI417094,43,protein,2021
PI417111,43,protein,2021
PI417141,43,protein,2021
PI417212,43,protein,2021
PI417269,43,protein,2021
PI417325,43,protein,2021
PI417469,43,protein,2021
PI423750,43,protein,2021
PI423755,43,protein,2021
PI423768,43,protein,2021
PI423846,43,protein,2021
PI423915,43,protein,2021
PI423956,43,protein,2021
PI424181,43,protein,2021
PI424267,43,protein,2021
PI424312,43,protein,2021
PI424400,43,protein,2021
PI424465,43,protein,2021
PI424596,43,protein,2021
PI427143,43,protein,2021
PI436612,43,protein,2021
PI437201,43,protein,2021
PI437250,43,protein,2021
PI437313,43,protein,2021
PI437353,43,protein,2021
PI437400,43,protein,2021
PI437413,43,protein,2021
PI437451,43,protein,2021
PI437471,43,protein,2021
PI437473,43,protein,2021
PI437612,43,protein,2021
PI437623,43,protein,2021
PI437642,43,protein,2021
PI437792,43,protein,2021
PI437793,43,protein,2021
PI437912,43,protein,2021
PI437954,43,protein,2021
PI437981,43,protein,2021
PI438002,43,protein,2021
PI438015,43,protein,2021
PI438075,43,protein,2021
PI438106,43,protein,2021
PI438108,43,protein,2021
PI438146,43,protein,2021
PI438149,43,protein,2021
PI438169,43,protein,2021
PI438177,43,protein,2021
PI438217,43,protein,2021
PI438283,43,protein,2021
PI438335,43,protein,2021
PI438367,43,protein,2021
PI438371,43,protein,2021
PI438437,43,protein,2021
PI438437,43,protein,2021
PI458071,43,protein,2021
PI458116,43,protein,2021
PI458117,43,protein,2021
PI458139,43,protein,2021
PI458188,43,protein,2021
PI458229,43,protein,2021
PI458296,43,protein,2021
PI464900,43,protein,2021
PI471904,43,protein,2021
PI479723,43,protein,2021
PI494851,43,protein,2021
PI506509,43,protein,2021
PI506535,43,protein,2021
PI506582,43,protein,2021
PI506587,43,protein,2021
PI506588,43,protein,2021
PI506618,43,protein,2021
PI506646,43,protein,2021
PI506766,43,protein,2021
PI506771,43,protein,2021
PI506808,43,protein,2021
PI506916,43,protein,2021
PI506926,43,protein,2021
PI506928,43,protein,2021
PI506993,43,protein,2021
PI507005,43,protein,2021
PI507067,43,protein,2021
PI507074,43,protein,2021
PI507094,43,protein,2021
PI507131,43,protein,2021
PI507178,43,protein,2021
PI507203,43,protein,2021
PI507233,43,protein,2021
PI507273,43,protein,2021
PI507291,43,protein,2021
PI507317,43,protein,2021
PI507317,43,protein,2021
PI507349,43,protein,2021
PI507403,43,protein,2021
PI507404,43,protein,2021
PI507418,43,protein,2021
PI507434,43,protein,2021
PI507473,43,protein,2021
PI507501,43,protein,2021
PI507511,43,protein,2021
PI507523,43,protein,2021
PI507621,43,protein,2021
PI507666,43,protein,2021
PI507674,43,protein,2021
PI507702,43,protein,2021
PI507762,43,protein,2021
PI511813,43,protein,2021
PI518668,43,protein,2021
PI518710,43,protein,2021
PI522234,43,protein,2021
PI531068,43,protein,2021
PI532445,43,protein,2021
PI532471,43,protein,2021
PI540554,43,protein,2021
PI548308,43,protein,2021
PI548339,43,protein,2021
PI548365,43,protein,2021
PI548378,43,protein,2021
PI548393,43,protein,2021
PI548425,43,protein,2021
PI548425,43,protein,2021
PI548504,43,protein,2021
PI548507,43,protein,2021
PI548544,43,protein,2021
PI548547,43,protein,2021
PI548565,43,protein,2021
PI548579,43,protein,2021
PI548609,43,protein,2021
PI548664,43,protein,2021
PI548974,43,protein,2021
PI548977,43,protein,2021
PI549022,43,protein,2021
PI549070,43,protein,2021
PI549079,43,protein,2021
PI561284,43,protein,2021
PI561307,43,protein,2021
PI561317,43,protein,2021
PI561333,43,protein,2021
PI564999,43,protein,2021
PI567169,43,protein,2021
PI567327,43,protein,2021
PI567353,43,protein,2021
PI567497,43,protein,2021
PI567634,43,protein,2021
PI567657,43,protein,2021
PI567787,43,protein,2021
PI574533,43,protein,2021
PI578405,43,protein,2021
FC19979-1,43,protein,2021
FC19979-7,43,protein,2021
PI68551-2,43,protein,2021
PI79848-1,43,protein,2021
PI79870-2,43,protein,2021
PI84946-1,43,protein,2021
PI89003-2,43,protein,2021
PI90567-1,43,protein,2021
PI90576-2,43,protein,2021
